Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
4001000,0.7609794,1.3144902,3.9120000287657604,320.6666666666667,3.2889997586607933
4002000,0.80576587,1.4395673,None,None,5.157999441027641
4003000,0.8293579,1.4332409,23.402000115951523,1465.0,23.402000233531
4004000,0.8236725,1.3897421,13.778000082005747,927.0,13.777999103069305
4005000,0.8278818,1.4303758,23.374000125331804,1468.0,23.373999789357185
4006000,0.80207056,1.3790982,None,None,None
4007000,0.81178373,1.2441305,11.170000065001659,770.5,11.169999834150076
4008000,0.8314439,1.4139814,23.292000112473033,1475.0,None
4009000,0.7619819,1.3524165,None,None,23.29199992492795
4010000,0.7718984,1.2183468,11.176500059256796,769.5,11.17649968340993
4011000,0.8425257,1.411699,None,None,None
4012000,0.8175178,1.2841413,11.197000066167675,774.0,11.196999851614237
4013000,0.80772436,1.3300109,22.287000115728006,1471.0,22.287000199779868
4014000,0.776199,1.3682382,None,None,None
4015000,0.7784446,1.2531817,11.722000066016335,780.5,11.722000204026699
4016000,0.84002006,1.4262358,23.385000112000853,1472.0,23.38500089943409
4017000,0.8631123,1.4036444,None,None,None
4018000,0.79244494,1.277358,9.230666722054593,655.0,9.230666548013687
4019000,0.8184761,1.4064603,None,None,None
4020000,0.75032145,1.0770751,5.331200032355264,403.2,5.331199967116118
4021000,0.864077,1.3815366,None,None,None
4022000,0.8230714,1.3634713,23.144000123720616,1461.0,23.14399991557002
4023000,0.77644444,1.2401806,13.614000076777302,960.0,13.61399956047535
4024000,0.82306737,1.3949952,14.891000083764084,1039.0,14.891000747680664
4025000,0.81285006,1.3455143,11.723000063910149,764.0,11.723000191152096
4026000,0.7714909,1.365365,5.255000032251701,438.0,5.255000099539757
4027000,0.8755967,1.3740457,9.477500059467275,687.0,9.477500058710575
4028000,0.8360075,1.3819745,14.736000081989914,955.0,14.735999330878258
4029000,0.88135517,1.3990102,None,None,None
4030000,0.83742404,1.41023,23.411000123247504,1462.0,23.410999551415443
4031000,0.8326807,1.3550103,23.325000121374615,1476.0,23.32499909773469
4032000,0.82456625,1.3536271,None,None,None
4033000,0.8210794,1.4273432,23.257000125129707,1476.0,23.2569994404912
4034000,0.84349483,1.3771899,23.31200012762565,1476.0,23.31199936568737
4035000,0.85837615,1.4186407,None,None,None
4036000,0.87168354,1.3619171,23.363000120734796,1476.0,23.362999439239502
4037000,0.73399043,1.334238,11.751000066869892,769.5,11.75099965557456
4038000,0.84967387,1.3913817,None,None,None
4039000,0.80910856,1.4114997,23.30300011613872,1462.0,23.303000509738922
4040000,0.81031674,1.3120139,20.02200010966044,1402.0,20.022000074386597
4041000,0.8231522,1.3781248,None,None,None
4042000,0.8160307,1.4191836,22.215000115102157,1467.0,22.21499951928854
4043000,0.879958,1.3843842,23.340000113938004,1476.0,23.340000450611115
4044000,0.8466319,1.4128554,None,None,None
4045000,0.76857114,1.409755,23.409000119310804,1476.0,23.40899959206581
4046000,0.83056617,1.4078114,22.371000127168372,1476.0,22.37100011855364
4047000,0.8196964,1.3561367,None,None,None
4048000,0.85564333,1.4045334,22.265000125858933,1476.0,22.265000082552433
4049000,0.83709425,1.4257586,24.37500013387762,1476.0,24.374999403953552
4050000,0.8331827,1.3603911,12.553000069921836,876.0,12.553000405430794
4051000,0.84956884,1.4371752,22.335000130697154,1470.0,22.33500012010336
