Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
4002000,1.2430949,1.1350597,10.73000006377697,811.5,10.730000024661422
4003000,1.273871,1.1971684,None,None,None
4004000,1.206168,1.1117388,5.406000034906901,429.2,5.406000011786818
4005000,1.2644086,1.1075797,None,None,None
4006000,1.1586043,1.172879,10.666000062832609,768.5,10.665999673306942
4007000,1.1153011,1.0924703,3.378666688532879,279.6666666666667,3.3786666790644326
4008000,1.1409212,1.0131087,10.588000057614408,762.5,10.587999979034066
4009000,1.2595978,1.0626239,None,None,None
4010000,1.1998038,1.1104501,20.992000117432326,1459.0,20.992000384256244
4011000,1.1721559,1.0855294,10.63700006424915,786.5,10.636999828740954
4012000,1.2774576,1.1269093,None,None,None
4013000,1.0731372,1.0834343,5.936666702657628,468.6666666666667,5.9366664836804075
4014000,1.2621665,1.1903032,22.163000115775503,1464.0,22.163000017404556
4015000,1.1964761,1.1556132,6.896000041451771,527.5,6.896000012755394
4016000,1.0815966,1.105654,3.9380000268186754,355.0,3.9379999339580536
4017000,1.0355705,1.1716636,1.7295000154990703,195.0,1.7294997833669186
4018000,1.2774848,1.1678928,None,None,None
4019000,1.1754445,1.107535,7.948000040370971,593.0,7.9480002100269
4020000,1.1971378,1.0189173,None,None,None
4021000,1.1471564,1.1206713,10.605500057456084,769.0,10.60549994558096
4022000,1.179249,1.1023108,10.659500061476137,764.5,10.659499703906476
4023000,1.2421671,1.0494553,8.753000044147484,670.0,8.753000289201736
4024000,1.2551477,1.2073737,22.275000115972944,1467.0,22.275000244379044
4025000,1.093013,1.0983508,2.5930000176886097,255.0,2.592999741435051
4026000,1.1817001,0.9837396,21.004000102402642,1473.0,21.004000172019005
4027000,1.1847969,1.1227741,7.454500038642436,542.5,7.4545000940561295
4028000,1.2474384,1.0947952,None,None,None
4029000,1.2119043,1.0816633,15.04100008867681,1104.0,15.040999636054039
4030000,1.2182306,1.1403697,13.140500070061535,932.0,22.28100011870265
4031000,1.2585208,1.0501184,None,None,4.000000417232513
4032000,1.2436603,1.1555656,22.33400012180209,1473.0,22.334000512957573
4033000,1.2501544,1.1085014,22.287000121199526,1476.0,None
4034000,1.2321217,1.1070817,None,None,22.286999888718128
4035000,1.2804036,1.0675822,11.994500064640306,865.0,11.994500078260899
4036000,1.2650311,1.1890221,None,None,None
4037000,1.1328946,1.1902528,11.143000061390921,772.5,11.142999812960625
4038000,1.2575653,1.0509491,21.129000113578513,1463.0,21.128999058157206
4039000,1.1924725,1.1498423,7.587500042631291,600.0,14.983000822365284
4040000,1.2298763,1.137083,0.22500000766012818,93.0,0.2084997594356537
4041000,1.2200354,1.0825334,22.341000129119493,1461.0,22.340999953448772
4042000,1.2511629,1.0702692,12.641000077011995,977.0,12.641000226140022
4043000,1.2261875,1.1334549,13.964000083855353,1062.0,13.964000254869461
