Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
4001000,1.3352815,1.2668341,3.908333368677025,324.0,3.8524998277425766
4002000,1.3352815,1.3044487,None,None,4.01999919116497
4003000,1.3352815,1.2701752,7.24533338972833,558.0,7.245333090424538
4004000,1.3352815,1.4105484,None,None,None
4005000,1.3352816,1.2488898,7.592000058415579,529.25,7.591999666765332
4006000,1.3352815,1.3428363,None,None,None
4007000,1.3352815,1.4583837,24.741000176174566,1468.0,24.740999147295952
4008000,1.3352816,1.4101335,24.82500017376151,1476.0,24.82499897480011
4009000,1.3352815,1.2472835,2.605000022915192,248.5,2.6049998477101326
4010000,1.3352816,1.3901619,23.60100015345961,1470.0,23.600998923182487
4011000,1.3352858,1.3773963,7.731000067433342,544.0,7.730999380350113
4012000,1.3352872,1.2818983,10.120000079798046,701.5,10.119999188929796
4013000,1.3352872,1.3838851,None,None,None
4014000,1.3352872,1.4112257,23.675000161398202,1463.0,23.67499928548932
4015000,1.3352873,1.3569596,21.57500016351696,1416.0,21.574998550117016
4016000,1.3352872,1.352137,None,None,None
4017000,1.3352873,1.2874591,23.632000141893514,1470.0,23.632000006735325
4018000,1.3352872,1.284188,17.445000118692406,1223.0,17.445000156760216
4019000,1.3352872,1.397239,24.727000182378106,1466.0,None
4020000,1.3352872,1.3712487,None,None,24.72699861228466
4021000,1.3352902,1.3348609,11.870000078924932,777.0,11.86999961733818
4022000,1.3352934,1.435447,None,None,None
4023000,1.3352934,1.3175383,6.674000054225326,465.6,6.673999486118555
4024000,1.3352934,1.4176648,None,None,None
4025000,1.3352934,1.395158,24.947000186075456,1463.0,24.94699878245592
4026000,1.3352934,1.37443,12.543000098201446,846.0,12.542999789118767
4027000,1.3352934,1.3665015,18.592000138480216,1207.0,18.591999784111977
4028000,1.3352935,1.3681386,20.348000156576745,1351.0,20.347998932003975
4029000,1.3352934,1.403285,None,None,None
4030000,1.3352935,1.3566334,14.295500098960474,885.0,14.295499332249165
4031000,1.3352963,1.3675336,7.066000054473989,522.0,7.065999440848827
4032000,1.335308,1.4318962,None,None,None
4033000,1.335308,1.3840699,24.811000187299214,1471.0,24.81100007891655
4034000,1.3353078,1.4200246,24.597000172943808,1476.0,24.596999615430832
4035000,1.335308,1.4141779,None,None,None
4036000,1.3353078,1.2710373,9.29133340708601,661.0,9.29133260746797
4037000,1.335308,1.3455422,11.151000079000369,747.0,11.150999888777733
4038000,1.335308,1.4132706,None,None,None
4039000,1.335308,1.3456963,15.757500117062591,1001.0,15.757499378174543
4040000,1.335308,1.3904033,None,None,None
4041000,1.335308,1.4067584,16.7615001219674,1038.0,16.761498894542456
4042000,1.335317,1.37902,8.963000069838017,618.0,8.96299922466278
4043000,1.3353176,1.3717601,20.230000155977905,1290.0,20.22999881953001
4044000,1.3353176,1.2013608,2.6504000241169705,241.0,2.650399759411812
4045000,1.3353176,1.4288925,None,None,None
4046000,1.3353176,1.3722901,14.974500114272814,924.5,14.974498800933361
4047000,1.3353176,1.4029217,None,None,None
4048000,1.3353176,1.3340552,11.363000090389201,742.3333333333334,11.362999092166623
4049000,1.3353176,1.3946387,None,None,None
4050000,1.3353175,1.4253953,15.550000112212729,965.0,15.54999964311719
4051000,1.3353176,1.4170862,None,None,None
4052000,1.3353235,1.334451,12.484500088670757,798.5,12.484499476850033
4053000,1.3353273,1.2874613,19.719000146724284,1292.0,19.718999311327934
4054000,1.3353273,1.3639938,5.140000046580099,367.0,5.139999270439148
4055000,1.3353273,1.3819077,24.76200016879011,1475.0,24.76199959218502
4056000,1.3353273,1.3719265,17.409000132931396,1091.0,17.408998429775238
4057000,1.3353273,1.409409,None,None,None
4058000,1.3353273,1.3516794,23.73200016224291,1467.0,23.731999076902866
4059000,1.3353273,1.3398542,8.95500007388182,646.0,8.954999025911093
4060000,1.3353273,1.4094365,None,None,None
4061000,1.3353273,1.410201,24.921000182046555,1463.0,24.92099889740348
4062000,1.3353248,1.2962277,12.395500090147834,779.0,12.39549969881773
4063000,1.3353198,1.3514183,12.684000102453865,828.0,12.683999359607697
4064000,1.3353196,1.3820012,None,None,None
4065000,1.3353195,1.3774408,14.964000104810111,929.5,14.96399886906147
4066000,1.3353196,1.1916792,5.981666714767925,457.0,5.98166639606158
4067000,1.3353196,1.40297,None,None,None
4068000,1.3353196,1.3502624,24.92400017019827,1465.0,24.9239983856678
4069000,1.3353196,1.394907,11.519000101136044,798.0,11.518998980522156
4070000,1.3353196,1.3348486,15.3430001224624,1050.0,15.342998504638672
4071000,1.3353196,1.4067957,23.72400016337633,1465.0,23.723999217152596
4072000,1.3353196,1.4011563,None,None,None
4073000,1.3353043,1.4000666,23.68100016855169,1476.0,23.680999375879765
4074000,1.3353044,1.3231019,23.496000164654106,1466.0,23.495998814702034
4075000,1.3353043,1.3948238,None,None,None
4076000,1.3353043,1.3554312,16.294000115711242,1043.0,16.293999643996358
4077000,1.3353043,1.4082147,None,None,None
4078000,1.3353043,1.3101965,8.030333393641437,558.6666666666666,8.030332980056604
4079000,1.3353044,1.3604289,12.71400010283105,841.0,12.71399936079979
4080000,1.3353041,1.3437293,8.281500067329034,574.5,8.281499601900578
4081000,1.3353043,1.4320207,None,None,None
4082000,1.3353044,1.4526446,23.92400017986074,1471.0,23.923998948186636
4083000,1.3353004,1.3343782,14.362000100372825,906.5,14.361998803913593
4084000,1.3352991,1.320763,5.096500041719992,367.0,5.096499636769295
4085000,1.3352991,1.3765634,12.63100009819027,824.0,12.630999311804771
4086000,1.3352991,1.423393,24.816000176942907,1466.0,24.815998658537865
4087000,1.3352991,1.3342013,14.037000117939897,967.0,14.03699854016304
4088000,1.3352991,1.3812046,None,None,None
4089000,1.3352991,1.3983786,21.361000165576115,1392.0,21.360998421907425
4090000,1.3352991,1.2806008,11.939000094716903,773.5,11.938999081030488
4091000,1.3352993,1.3889195,0.2600000101374462,86.0,0.25999999046325684
4092000,1.3352991,1.353001,18.867000141646713,1214.0,18.866999238729477
4093000,1.3352968,1.3413376,23.573000165401027,1466.0,23.572999499738216
4094000,1.3352941,1.2952691,None,None,None
4095000,1.3352941,1.3465731,9.98000007336183,665.6666666666666,9.979999847710133
4096000,1.3352942,1.3077494,6.292000048561022,487.0,6.291999503970146
4097000,1.3352941,1.3451715,12.504500091832597,775.5,12.504499275237322
4098000,1.3352941,1.3870085,None,None,None
4099000,1.3352941,1.3364798,8.436333395307884,566.6666666666666,8.436333045363426
4100000,1.3352941,1.4098603,None,None,None
4101000,1.3352941,1.3759748,12.59600009699352,803.0,12.595999309793115
4102000,1.3352941,1.3012358,10.662500085309148,717.5,10.662498969584703
4103000,1.3352916,1.4202343,None,None,None
4104000,1.3352821,1.2498281,6.384400051413104,427.0,6.384399488568306
4105000,1.3352821,1.3776448,None,None,None
4106000,1.3352822,1.3283368,9.247000062877001,623.6666666666666,9.246999649951855
4107000,1.3352821,1.3633951,5.794000049936585,428.5,5.793999865651131
4108000,1.3352821,1.4121847,None,None,None
4109000,1.3352821,1.260003,8.214250061486382,568.75,8.214249465614557
4110000,1.3352822,1.2372282,0.6060000098853683,112.0,0.6059999267260233
4111000,1.3352821,1.3837415,23.470000160392374,1466.0,23.469999097287655
4112000,1.3352821,1.3971796,3.799000029452145,263.0,3.798999786376953
4113000,1.3352822,1.3826421,23.669000168098137,1475.0,23.668999008834362
4114000,1.3352741,1.3850474,None,None,None
4115000,1.3352734,1.2433109,10.572000077964427,732.6666666666666,10.571999534964561
4116000,1.3352734,1.3144419,11.6100000992883,819.0,11.609999477863312
4117000,1.3352735,1.3991467,None,None,None
4118000,1.3352734,1.3325249,24.836000165552832,1475.0,24.835999988019466
4119000,1.3352735,1.2968972,23.334000160568394,1476.0,23.333999812602997
4120000,1.3352735,1.1563721,3.1622000297298656,264.8,3.1621996641159056
4121000,1.3352735,1.3102517,None,None,None
4122000,1.3352735,1.3461475,24.387000169721432,1464.0,24.386999309062958
4123000,1.3352735,1.3779681,24.6170001673745,1476.0,24.616998985409737
4124000,1.3352667,1.2579769,12.236000081407838,823.0,12.235999539494514
4125000,1.3352625,1.383514,None,None,None
4126000,1.3352625,1.369838,24.84400017443113,1472.0,24.843998968601227
4127000,1.3352627,1.3131564,12.045500091277063,808.0,12.045499376952648
4128000,1.3352625,1.2988012,14.747000101371668,972.0,14.747000008821487
