Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
4002000,1.2910788,0.89172846,22.276000122656114,1477.0,22.276000566780567
4003000,1.2986338,0.88216287,22.204000111785717,1476.0,None
4004000,1.2662213,0.87640923,None,None,22.20400059968233
4005000,1.3413987,0.8982418,22.13300011411775,1476.0,22.133000075817108
4006000,1.2870235,0.88258773,21.201000114670023,1476.0,None
4007000,1.2707107,0.8157703,None,None,21.200999677181244
4008000,1.2951351,0.8629476,12.76500007964205,1014.0,12.764999568462372
4009000,1.2759928,0.88899183,22.238000117475167,1461.0,22.238000005483627
4010000,1.2952955,0.84036577,7.513000046019442,558.0,7.512999966740608
4011000,1.2805122,0.8270438,21.020000106771477,1459.0,21.019999910145998
4012000,1.308976,0.85911155,None,None,None
4013000,1.3105214,0.872123,15.353000080911443,1022.0,15.352999851107597
4014000,1.3214477,0.8391683,None,None,None
4015000,1.2812716,0.92324644,21.13600011053495,1465.0,21.13600055873394
4016000,1.3259945,0.83271176,22.120000116876327,1476.0,22.119999453425407
4017000,1.3394583,0.81867915,None,None,None
4018000,1.305531,0.8484561,20.958000112790614,1476.0,20.95800058543682
4019000,1.3413923,0.80942416,22.124000113923103,1476.0,22.12399946153164
4020000,1.2924855,0.7876941,None,None,None
4021000,1.2692477,0.8507731,10.046500060358085,775.0,10.046499863266945
4022000,1.3646884,0.84890616,22.08100011642091,1467.0,22.0810007750988
4023000,1.2962388,0.88224447,None,None,None
4024000,1.2681623,0.8727732,7.583666710842711,581.6666666666666,7.5836666996280355
4025000,1.29338,0.7323503,20.999000115320086,1467.0,20.99900036305189
4026000,1.2853736,0.89957875,0.11000000312924385,75.0,0.10999996960163116
4027000,1.30255,0.9036873,22.276000113459304,1466.0,22.276000425219536
4028000,1.2946658,0.9009561,None,None,None
4029000,1.3070396,0.818451,11.199500063434243,778.5,11.199499621987343
4030000,1.3229197,0.8810554,20.04100011009723,1460.0,20.040999718010426
4031000,1.3159993,0.9003366,None,None,None
4032000,1.2980188,0.83639127,11.147000059951097,771.0,11.147000044584274
4033000,1.3174196,0.8200392,21.11600011284463,1474.0,21.11600049585104
4034000,1.2898377,0.82481265,None,None,None
4035000,1.2836856,0.83800644,18.78700010292232,1419.0,18.786999635398388
4036000,1.3575284,0.89481413,21.162000114563853,1468.0,21.162000220268965
