Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
4001000,0.8523423,1.0397936,6.072000033571385,460.0,6.072000354528427
4002000,0.85769576,1.0412164,7.486000044387765,592.0,7.485999956727028
4003000,0.9326875,1.1966343,8.400000052448982,619.0,9.389000244438648
4004000,0.8984764,1.1659175,None,None,6.422000482678413
4005000,0.86820644,1.0597506,10.715000068186782,794.5,10.715000107884407
4006000,0.92098254,1.1548946,None,None,None
4007000,0.8707047,1.0807294,7.4515000413230155,543.75,7.451499892398715
4008000,0.8932347,1.1220732,5.735500037786551,451.5,5.73550021648407
4009000,0.90378165,1.0466616,6.390500041015912,516.0,6.390500199049711
4010000,0.8314285,1.1830945,5.811000042129308,463.5,5.810999892652035
4011000,0.8657462,1.1373988,6.361000039381906,507.0,6.361000016331673
4012000,0.88713354,1.1535981,6.851000041118823,474.5,6.850999690592289
4013000,0.911742,1.1276728,6.382000041368883,494.5,6.382000006735325
4014000,0.884208,1.1196405,6.411500047077425,522.0,6.411499924957752
4015000,0.9199944,1.0822036,4.654666696015435,360.0,4.654666647315025
4016000,0.87847626,1.1009872,4.275666695631419,352.3333333333333,4.275666676461697
4017000,0.84304804,1.1260211,13.646000073291361,984.0,13.646000504493713
4018000,0.89964926,1.2205901,3.3260000248556025,305.0,3.3259997963905334
4019000,0.8558275,1.0425615,5.688000035705045,475.0,5.6880000457167625
4020000,0.8830793,1.1368996,None,None,None
4021000,0.8654221,1.1210058,14.415500084636733,1004.0,14.41550025343895
4022000,0.9208499,1.168324,7.563000047171954,576.5,7.5629998706281185
4023000,0.87708324,1.0749471,6.375000042608008,530.0,6.374999977648258
4024000,0.9142224,1.2398386,12.586000072420575,930.0,12.585999354720116
4025000,0.9211218,1.1555387,22.402000122936442,1460.0,22.401999656111002
4026000,0.904988,1.2386813,4.270000026018049,337.6666666666667,4.269999799629052
4027000,0.88686776,1.1771026,3.1470000224071555,250.5,3.1469999477267265
4028000,0.92209256,1.1213933,10.79850006889319,800.5,10.798499874770641
4029000,0.9457891,1.1602882,None,None,None
4030000,0.9393445,1.1003739,15.484500083490275,1031.5,23.407999515533447
4031000,0.86681217,1.186363,12.592000074335374,922.0,10.076500289142132
4032000,0.9038528,1.2021247,4.420500025735237,346.0,4.420499786734581
4033000,0.9079537,1.1095523,13.541000075172633,924.0,13.541000381112099
4034000,0.89022803,1.1394799,7.099500046286266,554.5,7.099499829113483
4035000,0.9041141,1.0794566,6.359000042080879,496.5,6.358999989926815
4036000,0.90646887,1.196081,5.72450003575068,433.0,5.724499985575676
4037000,0.9589234,1.0527861,5.148333366805066,412.3333333333333,5.148333355784416
4038000,0.8636369,1.1490912,8.90200005681254,675.0,8.901999741792679
4039000,0.88820803,1.1673154,5.8185000394587405,476.5,5.81850004196167
4040000,0.9340334,1.1464568,6.372333371313289,476.6666666666667,6.372333471973737
4041000,0.87356687,1.0964063,None,None,None
4042000,0.89494526,1.1071855,22.24000012828037,1462.0,22.240000173449516
4043000,0.83720344,1.1471165,12.500000079977326,882.0,12.50000013411045
4044000,0.8430125,1.1600056,21.140000121085905,1464.0,21.13999980688095
4045000,0.88743335,1.2000952,3.4716666898457333,288.0,3.471666604280472
4046000,0.88486624,1.0747045,7.4850000474834815,555.0,7.484999790787697
4047000,0.9213893,1.1701217,9.423000052454881,682.5,9.42300033569336
4048000,0.84324056,1.1738309,6.485500039125327,521.5,6.485500238835812
4049000,0.8850813,1.1160681,3.8506666927132756,310.3333333333333,3.8506666670242944
4050000,0.9373461,1.0942494,7.501000048592687,596.0,7.501000106334686
4051000,0.9056354,1.1362029,22.405000119819306,1464.0,22.40499909967184
4052000,0.913911,1.0967369,14.054000092903152,1080.0,14.053999364376068
4053000,0.92101014,1.113183,16.078000087291002,1068.0,16.078000277280807
4054000,0.8850004,1.1449994,None,None,None
4055000,0.87265015,1.1275275,14.265500078734476,982.0,14.265500279143453
4056000,0.86093986,1.1693082,3.2810000263853,279.0,3.280999891459942
4057000,0.8404108,1.1015266,13.83800008916296,1008.0,13.83799996972084
4058000,0.90123934,1.0566638,12.6020000774879,1000.0,12.602000385522842
4059000,0.87796885,1.2122626,6.313000041991472,469.0,6.312999993562698
4060000,0.9067443,1.059776,6.416000041121151,527.5,6.416000239551067
4061000,0.8770188,1.0500162,6.843000041670166,481.0,6.842999689280987
4062000,0.95136124,1.0846803,6.291500040737446,476.0,6.291499983519316
4063000,0.9104556,1.1952757,13.882000079611316,1005.0,13.881999418139458
4064000,0.91382,1.1568036,6.396000036154874,490.0,6.395999982953072
4065000,0.89662087,1.1633829,11.234500063350424,761.5,11.23449994251132
4066000,0.8695897,1.1630327,None,None,None
4067000,0.8919945,1.1180996,22.153000130550936,1465.0,22.15299990773201
4068000,0.9105952,1.1076331,10.688500063377433,799.0,10.688500005751848
4069000,0.89626557,1.1807075,6.272000038588885,461.5,6.271999657154083
4070000,0.92643195,1.2015325,2.6264000178780407,240.4,2.626399989426136
4071000,0.9156209,1.155395,None,None,None
4072000,0.9015174,1.1288016,14.41700008889893,1006.0,14.417000070214272
4073000,0.89714867,1.2036053,6.380000038072467,472.0,6.379999935626984
4074000,0.90592873,1.1839783,None,None,None
4075000,0.90844595,1.1135962,14.398000084387604,1001.0,14.398000292479992
4076000,0.9029214,1.1735502,None,None,None
4077000,0.84078556,1.0148058,14.234000081487466,995.5,14.233999934978783
4078000,0.89500105,1.2209526,12.539000075659715,877.0,12.538999766111374
4079000,0.85784537,1.1509084,5.70000003837049,457.0,5.699999958276749
4080000,0.89134175,1.2116078,5.142666703128877,398.6666666666667,5.142666508754094
4081000,0.88821995,1.1860735,5.72800003644079,447.5,5.727999936789274
4082000,0.8901998,1.1592331,None,None,None
4083000,0.8520263,1.1134197,13.550000073388219,927.5,13.550000291317701
4084000,0.8815633,1.0596288,None,None,None
4085000,0.8699256,1.1828835,22.216000123647973,1474.0,22.216000333428383
4086000,0.90621835,1.1963216,12.625000080210157,897.0,12.625000655651093
4087000,0.85065377,1.0562284,9.827000056102406,667.5,9.82699989527464
4088000,0.8892246,1.1907372,None,None,None
4089000,0.86146337,1.103866,10.374333391780965,720.3333333333334,10.374333264927069
4090000,0.9071592,1.1295658,7.574000052874908,587.0,7.573999896645546
4091000,0.86036205,1.1668779,9.376000056683552,682.5,9.376000240445137
4092000,0.9305065,1.2093976,None,None,None
4093000,0.91651386,1.0878088,11.21500006353017,761.0,11.214999921619892
4094000,0.8888835,1.2080666,9.35700005601393,687.0,9.35699987411499
4095000,0.9270735,1.2071403,6.455000042915344,521.0,6.4550003707408905
4096000,0.950485,1.1933744,22.37600011716131,1469.0,22.375999800860882
4097000,0.8627578,1.1989647,6.353500040830113,476.5,6.353499926626682
4098000,0.9545589,1.141806,5.055000034044497,371.3333333333333,5.054999694228172
4099000,0.9265732,1.1631457,6.322000039042905,484.0,6.322000399231911
4100000,0.920565,1.1808394,10.704000063647982,747.0,10.70399983227253
4101000,0.9109405,1.1987735,6.934500042814761,507.5,6.934500113129616
4102000,0.91518265,1.1729312,6.309000038076192,465.0,6.309000119566917
4103000,0.90158594,1.2367038,12.527000074042007,866.0,12.526999488472939
4104000,0.90867054,1.1699936,10.70150006347103,742.0,10.701499909162521
4105000,0.90265435,1.1986864,7.585000048391521,557.0,7.584999397397041
4106000,0.8651907,1.2087579,20.28700011910405,1468.0,20.286999821662903
4107000,0.9538704,1.2311256,5.8225000344682485,465.5,5.822500288486481
4108000,0.8619672,1.1574793,6.2925000377581455,502.5,6.2925000339746475
4109000,0.90477586,1.1765264,6.201000034459867,452.0,6.20100000500679
4110000,0.90857846,1.148072,4.697000033222139,361.0,4.696999952197075
4111000,0.8914171,1.2557633,12.616000074660406,920.0,12.615999445319176
4112000,0.876624,1.1795013,13.607000087271444,893.0,13.606999680399895
4113000,0.9368828,1.1869079,6.958500045293476,528.5,6.958499930799007
4114000,0.8912354,1.043871,6.200000036158599,446.0,6.200000047683716
4115000,0.9056203,1.1655135,22.217000127071515,1469.0,22.217000029981136
4116000,0.9368013,1.1890744,3.924666694869908,344.0,3.9246665636698403
4117000,0.8770293,1.1356775,12.780000074650161,980.0,12.78000095486641
4118000,0.92825985,1.1053183,4.2806666981584085,350.3333333333333,4.280666679143906
4119000,0.8607734,1.1984727,7.672000047168694,602.0,7.672000154852867
4120000,0.9024469,1.1026263,15.021000087843277,1054.0,15.021000072360039
4121000,0.8760199,1.087075,10.022500065795612,726.0,10.022500451654196
4122000,0.92544144,1.1594839,3.8120000261696987,305.5,3.8120000138878822
4123000,0.8835764,1.1744277,13.994000077364035,1070.0,13.9939995855093
4124000,0.8900841,1.1569026,6.1450000340119,464.0,6.145000323653221
4125000,0.93391484,1.109165,9.534500060311984,707.0,9.53449995815754
4126000,0.85465944,1.0737041,6.1875000356230885,461.0,6.187499925494194
4127000,0.85347134,1.1303205,8.730000050156377,640.0,8.730000272393227
4128000,0.86756706,1.0978606,10.04250006302027,745.0,10.042500376701355
4129000,0.8796694,1.1015048,19.977000106940977,1378.0,None
4130000,0.8813411,1.1140391,5.728500040771905,437.5,10.478000119328499
4131000,0.91620034,1.1052388,6.355500040808693,499.5,6.355500124394894
4132000,0.91388327,1.0760441,13.764000075287186,967.0,13.7639996483922
4133000,0.9210392,1.0673864,5.217000030446798,495.0,5.217000313103199
4134000,0.86865413,1.0946391,13.658000077586621,940.0,13.658000111579895
4135000,0.8187676,1.0894772,8.235000054119155,658.0,8.23500020802021
4136000,0.9136056,1.0890434,6.832000038586557,504.0,6.831999778747559
4137000,0.8916077,1.114768,6.997000042814761,541.5,6.996999766677618
4138000,0.85899943,1.1576213,5.7050000366871245,447.0,5.705000400543213
4139000,0.8549108,1.0711465,13.672000081976876,985.0,13.672000378370285
4140000,0.8402231,1.0446153,6.360000044573098,550.0,6.359999984502792
4141000,0.89459825,1.1003859,6.780000042946388,536.3333333333334,6.779999802509944
4142000,0.8255019,1.0845125,6.347000042442232,527.0,6.3470001220703125
4143000,0.85439205,1.0971451,21.06900012178812,1463.0,21.069000378251076
4144000,0.9238211,1.1977544,3.3165000253356993,290.5,3.3164999932050705
4145000,0.9427758,1.1509564,20.085000131628476,1357.0,20.0849991440773
4146000,0.8398021,1.1177745,4.366000027861446,346.5,4.365999843925238
4147000,0.8494361,1.1460823,6.262666706888315,463.3333333333333,6.257000058889389
4148000,0.90723115,1.1489971,6.455000042100437,504.0,6.364500068128109
4149000,0.8893115,1.0651064,13.768000078620389,967.0,13.767999321222305
4150000,0.92022717,1.092652,8.003000046592206,568.0,8.002999573946
4151000,0.89361423,1.1606905,13.981000087573193,987.0,13.981000229716301
4152000,0.9665882,1.1610456,14.916000087046996,996.0,14.916000209748745
4153000,0.9157817,1.1692479,6.443000043742359,498.0,6.443000137805939
4154000,0.90405,1.1587553,10.63200005813269,731.0,10.63200031220913
4155000,0.90377945,1.0625085,14.755000090808608,979.0,14.754999339580536
4156000,0.9393824,1.1076102,5.043666698465434,386.0,5.043666775027911
4157000,0.85731673,1.1198013,None,None,None
4158000,0.9049143,1.1524892,10.032500061031897,711.5,10.032500088214874
4159000,0.9433574,1.0223408,11.184000063803978,790.0,11.183999985456467
4160000,0.87000686,1.113292,12.418000069679692,866.0,12.418000191450119
4161000,0.87863165,1.1073136,5.680500036163721,444.0,5.6805000975728035
4162000,0.8971216,1.1382816,13.640000074054115,913.0,13.640000596642494
4163000,0.9029099,1.1068639,6.365500039188191,499.0,6.365499936044216
4164000,0.92125493,1.1419823,6.46400004287716,512.0,6.464000329375267
4165000,0.8888052,1.1084684,10.194000058341771,769.5,10.194000571966171
4166000,0.8280535,1.2195841,5.72200003900798,439.5,5.7220000848174095
4167000,0.8782198,1.1332369,5.151000038837083,415.0,5.151000201702118
4168000,0.8287613,1.1022573,11.627500065718777,798.5,11.62749988026917
4169000,0.9088511,1.1512171,6.269000042346306,487.0,6.269000336527824
4170000,0.8429884,1.1722684,22.39400012185797,1475.0,22.394000604748726
4171000,0.90836775,1.2324607,8.956500056141522,654.0,12.717000588774681
4172000,0.9308233,1.1205573,13.595000082044862,939.0,9.39549995958805
4173000,0.9016192,1.103008,5.810500039195176,480.5,5.810500465333462
4174000,0.86658466,1.1541667,3.774000024772249,308.0,3.7739999939997992
4175000,0.90555024,1.1436515,None,None,None
4176000,0.9448972,1.1782413,22.34900012530852,1474.0,22.348999951034784
4177000,0.9304986,1.1709939,9.37450005527353,664.5,9.374499879777431
4178000,0.84527916,1.0921679,7.710000052116811,592.0,7.709999963641167
4179000,0.89821947,1.0659478,5.335250032541808,413.25,4.60333331177632
4180000,0.85800415,1.178427,1.2670000065118074,140.0,4.3990001529455185
4181000,0.92599297,1.1965139,6.721666707540862,489.0,6.721666609247525
4182000,0.8899406,1.1051575,6.996500050940085,535.5,6.996499814093113
4183000,0.8942922,1.0359514,8.076000048778951,599.0,8.07599975913763
4184000,0.9223529,1.225441,8.613000046694651,566.0,8.612999707460403
4185000,0.9286165,1.1959072,22.416000127559528,1461.0,None
4186000,0.86383164,1.1931677,7.685000047902577,626.0,15.050500102341175
4187000,0.89732516,1.018788,4.709000030222039,389.0,4.7089999715487165
4188000,0.88479084,1.1785659,12.493000076850876,888.0,12.492999911308289
4189000,0.85871786,1.1269474,6.37000004138099,495.5,6.370000243186951
4190000,0.8946436,1.1298764,8.968000061344355,713.0,8.968000210821629
4191000,0.8997971,1.1705774,12.618000075337477,880.0,12.617999032139778
4192000,0.8992733,1.1475986,10.045500060543418,746.0,10.045499965548515
4193000,0.8922641,1.1883131,None,None,None
4194000,0.91763216,1.176801,9.564666722008647,677.0,9.564666723211607
4195000,0.8780173,1.0430831,5.043000029516406,474.0,5.04300020635128
4196000,0.888293,1.2134922,13.947000082815066,1057.0,13.947000041604042
4197000,0.8942042,1.1849567,6.962500039488077,546.0,6.962500348687172
4198000,0.90975714,1.1249597,13.785000079427846,948.0,13.78500011563301
4199000,0.8311183,1.127849,7.63500004960224,579.0,7.635000161826611
4200000,0.8823074,1.1427083,6.910500039870385,544.0,6.910500135272741
4201000,0.913494,1.1939874,6.531000045244582,533.0,6.530999764800072
4202000,0.9028419,1.1548119,13.982000085292384,1008.0,13.982000187039375
4203000,0.8883006,1.1289041,13.958000084385276,1036.0,13.958000481128693
4204000,0.9119092,1.1385275,22.244000125443563,1474.0,22.243999771773815
4205000,0.8919777,1.1384873,6.899500044062734,521.0,6.32500034570694
4206000,0.91919744,1.1989006,3.1657500205910765,251.0,5.007000096142292
4207000,0.8821455,1.146534,1.2860000078799203,142.0,0.697500079870224
4208000,0.87563586,1.1263486,13.639000082970597,963.0,13.63899964094162
4209000,0.87476575,1.1367842,13.161500082351267,907.0,21.11899933218956
4210000,0.9322865,1.1827528,2.1946666838678843,202.0,2.946999877691269
4211000,0.91135204,1.0986766,5.7720000354456715,496.0,5.7720001339912415
4212000,0.90660286,1.183733,8.846500054816715,623.5,8.846499748528004
4213000,0.8795928,1.1224514,6.181000034091994,463.0,6.181000158190727
4214000,0.8678209,1.0747551,21.234000121592544,1449.0,21.233999624848366
4215000,0.9175241,1.1689763,8.768000050913543,646.0,8.767999783158302
4216000,0.8556554,1.1552519,13.85100008151494,1032.0,13.851000815629959
4217000,0.9005647,1.1788657,None,None,None
4218000,0.851358,1.1243873,10.685500064690132,765.5,10.685499981045723
4219000,0.93124413,1.1063975,11.12200006301282,758.5,11.122000106610358
4220000,0.91381663,1.1389511,None,None,None
4221000,0.87781495,1.090001,14.895500089565758,1010.0,14.895500339567661
4222000,0.8648941,1.1773176,6.396000045002438,481.0,6.395999655127525
4223000,0.8887026,1.2244661,12.734000083408318,919.0,12.73399993777275
4224000,0.8939271,1.1437895,10.104000057617668,738.0,10.10399978607893
4225000,0.8465142,1.1437968,3.8696666920247176,331.6666666666667,3.869666544099649
4226000,0.9223268,1.1961265,12.67100007738918,936.0,12.67099915444851
4227000,0.90112835,1.1700189,None,None,None
4228000,0.90319794,1.1641635,9.474666722118855,632.6666666666666,9.474666394293308
4229000,0.9149175,1.0898321,15.212000086903572,1144.0,15.212000593543053
4230000,0.91154265,1.1789758,None,None,None
4231000,0.9245716,1.0624901,23.444000128889456,1471.0,23.44399981200695
4232000,0.8629193,1.0774834,21.03800011414569,1476.0,21.038000591099262
4233000,0.8987313,1.1461132,None,None,None
4234000,0.90859765,1.1371572,11.728500062657986,770.5,11.728499919176102
4235000,0.8924875,1.1961521,12.632000074489042,892.0,12.631999969482422
4236000,0.9381382,1.092722,22.17000012367498,1469.0,22.17000075429678
4237000,0.8974807,1.1386712,3.5192500233242754,289.75,3.5192499924451113
4238000,0.917107,1.1369255,3.830666691840937,318.3333333333333,3.8306667804718018
4239000,0.9136769,1.1356759,13.836000082781538,986.0,13.836000218987465
4240000,0.8861044,1.2066184,5.229000039747916,426.0,5.228999808430672
4241000,0.87739784,1.1289774,10.553000062413048,717.0,10.55300023406744
4242000,0.8872867,1.0839369,13.738000078476034,1002.0,13.738000482320786
4243000,0.8928186,1.1453975,6.842500040482264,494.5,6.842499908059835
4244000,0.9082724,1.1763892,6.391000041272491,506.0,6.39100007712841
4245000,0.8719939,1.1659502,11.289500070153736,789.0,11.289499752223492
4246000,0.8828752,1.1746126,3.0280000208877027,281.0,3.0280001809199653
4247000,0.8357188,1.1884176,6.240500037791207,444.5,6.240499928593636
4248000,0.9284255,1.1259806,5.151500033971388,427.0,5.151499792933464
4249000,0.8951024,1.2298415,20.070000110543333,1405.0,20.069999784231186
4250000,0.9138936,1.1323066,6.33100003778236,496.0,6.331000357866287
4251000,0.8726355,1.136992,6.3310000417986885,493.5,6.3310000747442245
4252000,0.9306294,1.0672982,4.209000027893732,339.6666666666667,4.208999847372373
4253000,0.8772806,1.2070181,13.959000085131265,1059.0,None
4254000,0.9328541,1.1310107,6.208500036911573,418.5,8.791999995708466
4255000,0.8762917,1.1658189,None,None,None
4256000,0.9100282,1.1676742,14.87200008291984,989.0,14.872000262141228
4257000,0.9029506,1.1112018,6.941500039596576,529.0,6.941500097513199
4258000,0.87071323,1.1147344,3.1715000196709298,264.5,3.1715001314878464
4259000,0.90474534,1.1045831,6.374000041920226,518.5,6.37400034815073
4260000,0.91899294,1.1350493,6.402000041717353,492.3333333333333,9.537499822676182
4261000,0.8368953,1.102388,3.035000023820127,275.6666666666667,2.308999929577112
4262000,0.8951335,1.1386807,6.451500042458065,504.0,6.451500304043293
4263000,0.8562755,1.1259478,3.23950002231868,322.5,3.23950008302927
4264000,0.8357632,1.0905836,13.871000083745457,1028.0,13.871000476181507
4265000,0.8825145,1.1456063,4.895000029006042,390.0,4.895000658929348
4266000,0.90842,1.151127,13.244000081787817,962.5,13.24399982392788
4267000,0.8962179,1.2517341,None,None,None
4268000,0.9233104,1.1590219,10.728000063216314,766.5,10.727999968454242
4269000,0.89536786,1.1659153,15.06300009030383,1038.0,15.063000202178955
4270000,0.83196527,1.0901964,8.914000055985525,666.0,8.914000302553177
4271000,0.83895403,1.1311219,7.519000050534184,575.0,9.989500097930431
4272000,0.8953161,1.1884484,1.294000010122545,144.0,1.9360002055764198
4273000,0.8923234,1.1311095,11.88550006900914,837.0,11.885500334203243
4274000,0.90265024,1.1868254,13.931000088574365,1029.0,13.93100030720234
4275000,0.88722825,1.1257445,7.470500043244101,544.0,7.5130002200603485
4276000,0.9058201,1.1766846,5.800000038871076,470.5,6.342666730284691
4277000,0.8824189,1.1318595,6.403000044112559,504.5,6.452999472618103
4278000,0.8578738,1.0341038,None,None,6.353000193834305
4279000,0.9006318,1.155721,13.609500073594972,951.5,13.609499983489513
4280000,0.86237234,1.1078321,None,None,None
4281000,0.92195654,1.1517906,10.624500057718251,797.0,10.624500133097172
4282000,0.9061616,1.0562047,6.232000036165118,463.0,6.232000216841698
4283000,0.8921414,1.2246503,14.276000083074905,947.5,14.275999784469604
4284000,0.92469054,1.2282996,4.310333362120825,357.6666666666667,6.4099999368190765
4285000,0.88347876,1.1556392,2.6310000202502124,225.0,1.7909997155268986
4286000,0.92400914,1.1509846,7.459500045806635,548.0,7.459500104188919
4287000,0.89049935,1.1078829,5.265000030398369,521.0,5.2649997398257256
4288000,0.8921926,1.1555567,22.3670001255814,1460.0,22.366999683901668
