Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
4001000,0.74217486,1.3113897,6.474000040907413,575.0,6.474000334739685
4002000,0.760334,1.3388994,None,None,None
4003000,0.7504163,1.2421092,22.262000113376416,1475.0,22.26199946552515
4004000,0.73786724,1.2858222,21.092000112053938,1476.0,21.092000663280487
4005000,0.79930407,1.3276527,None,None,None
4006000,0.7333972,1.2736568,22.12300010235049,1476.0,22.122999608516693
4007000,0.77075994,1.316511,22.227000106940977,1476.0,22.227000266313553
4008000,0.8026169,1.3227946,None,None,None
4009000,0.7491099,1.340585,22.02400010242127,1476.0,22.024000227451324
4010000,0.7382003,1.2360142,13.638500061410014,955.5,22.252000629901886
4011000,0.7424083,1.3029076,8.861000050907023,679.0,6.943000145256519
4012000,0.74440604,1.2869029,None,None,None
4013000,0.80031973,1.2440752,15.509000078600366,1087.5,15.508999914862216
4014000,0.7168197,1.1771936,0.20000000565778464,86.5,0.19999998807907104
4015000,0.7294029,1.2697184,20.888000109582208,1473.0,20.888000704348087
4016000,0.8086377,1.2741694,13.778000073507428,1025.0,13.777999736368656
4017000,0.80991125,1.3025806,16.08200007164851,1088.0,16.082000449299812
4018000,0.76322013,1.3011813,15.064000074751675,1071.0,15.063999637961388
4019000,0.7748733,1.3249594,None,None,None
4020000,0.75493693,1.2363832,22.168000100646168,1473.0,22.16800045222044
4021000,0.7633539,1.3218069,22.079000102821738,1476.0,22.079000055789948
4022000,0.8139862,1.3092932,None,None,None
4023000,0.72627854,1.2347294,9.311500050185714,679.5,9.311500005424023
4024000,0.7101958,1.2724357,10.567000051902141,762.5,10.567000478506088
4025000,0.7559067,1.3086039,None,None,None
4026000,0.77039254,1.2722178,22.003000095835887,1462.0,22.003001555800438
4027000,0.74984443,1.3245484,11.149000055214856,768.5,11.14900016784668
4028000,0.75974107,1.2998426,None,None,None
4029000,0.81139517,1.272743,12.997000063362066,885.0,12.997000202536583
4030000,0.7504431,1.3030537,None,None,None
4031000,0.8137119,1.2661767,22.08600010664668,1465.0,22.08600065112114
4032000,0.7876962,1.2717373,19.80700009467546,1352.0,19.806999944150448
4033000,0.74687535,1.3268653,21.119000094477087,1468.0,21.11900094151497
4034000,0.7887817,1.3084341,6.393000035313889,489.0,6.39300012588501
4035000,0.76701534,1.3278265,22.168000103672966,1463.0,22.168000642210245
4036000,0.75207216,1.2957522,None,None,None
4037000,0.7824477,1.3114698,21.14400010940153,1476.0,21.144000068306923
4038000,0.78225136,1.2640057,22.02400010707788,1476.0,22.024000123143196
4039000,0.78846294,1.2843136,None,None,None
4040000,0.7533029,1.2838914,22.173000115551986,1476.0,22.17300023883581
4041000,0.7527858,1.2888055,19.799000102793798,1393.0,19.799000099301338
4042000,0.70026517,1.2619587,2.772000018856488,311.0,2.7720006555318832
4043000,0.71316546,1.2837517,19.8890001027612,1379.0,19.889000207185745
4044000,0.7330735,1.3402907,None,None,None
4045000,0.7767711,1.302772,19.91100009996444,1440.0,19.911000832915306
4046000,0.8036855,1.3166416,21.10800009605009,1463.0,21.10799998510629
4047000,0.8317235,1.3159432,None,None,None
4048000,0.7706904,1.2128891,11.837500059045851,832.5,11.837500125169754
4049000,0.77756524,1.2696848,18.335000089136884,1212.0,18.334999926388264
4050000,0.7676274,1.3029367,22.12100010656286,1468.0,22.121000176295638
4051000,0.72290826,1.2044892,None,None,None
4052000,0.7742783,1.3421494,21.957000106340274,1476.0,21.9569995328784
4053000,0.81075704,1.3060081,22.11200011090841,1476.0,22.11200061440468
4054000,0.793761,1.2777812,2.51800001389347,222.0,2.518000066280365
4055000,0.7704258,1.2531598,11.843500057409983,840.0,11.843500424176455
4056000,0.75007695,1.2918276,None,None,None
4057000,0.7850842,1.3128824,11.203500050876755,784.0,11.203500412404537
4058000,0.79690456,1.2904863,22.077000106219202,1464.0,22.077000364661217
4059000,0.74740154,1.3141665,None,None,None
4060000,0.77345675,1.3117659,22.141000108560547,1476.0,22.14100044965744
4061000,0.75356287,1.3162551,22.164000106509775,1476.0,22.163999870419502
4062000,0.76911646,1.304203,0.12200000346638262,91.0,0.12199997901916504
4063000,0.7811263,1.3468859,22.164000103017315,1467.0,22.163998991250992
4064000,0.74288225,1.3259177,None,None,None
4065000,0.7930445,1.2263706,11.958000058541074,868.0,11.957999987527728
4066000,0.7911891,1.309593,22.073000098578632,1461.0,22.07300102710724
4067000,0.79035085,1.3052571,None,None,None
4068000,0.70413244,1.2089609,7.1153333687689155,550.0,7.115333177149296
4069000,0.75171506,1.354322,21.148000104003586,1464.0,21.148000918328762
4070000,0.7878328,1.2704684,3.919000029331073,367.0,3.9190001487731934
4071000,0.68057674,1.2067829,11.147000059194397,782.0,11.146999970078468
4072000,0.78050375,1.2052392,3.747500019147992,300.0,3.7475002110004425
4073000,0.81126165,1.3262515,None,None,None
4074000,0.73622364,1.3154697,22.186000099638477,1469.0,22.18600057065487
4075000,0.74589723,1.2254441,10.632500053790864,778.5,10.632500130683184
4076000,0.82449746,1.3210022,None,None,None
4077000,0.7775351,1.3277829,22.25600010913331,1460.0,22.25599992275238
4078000,0.7005887,1.1751888,7.860000035919559,559.3333333333334,7.86000028749307
4079000,0.7447118,1.284456,7.473000036552548,546.0,7.473000153899193
4080000,0.7710886,1.282442,21.08700010541361,1465.0,21.08700083196163
4081000,0.7562096,1.296588,None,None,None
4082000,0.75461817,1.3442223,21.01200010161847,1476.0,21.012000419199467
4083000,0.7698293,1.3293378,22.23400010447949,1476.0,22.233999893069267
4084000,0.8035314,1.2294627,10.02000005717855,730.0,10.020000092685223
4085000,0.8052868,1.3218882,None,None,None
4086000,0.7774942,1.3500816,22.199000113410875,1467.0,22.199000023305416
4087000,0.78677166,1.305084,22.1640001013875,1476.0,22.163999646902084
4088000,0.7739817,1.2538376,14.82900007488206,1021.0,14.829000398516655
4089000,0.81404424,1.329087,None,None,None
4090000,0.7680033,1.3001561,22.26800010004081,1471.0,22.268000528216362
4091000,0.7258042,1.3008678,11.117000054160599,767.5,11.117000341415405
4092000,0.7452568,1.298454,None,None,None
4093000,0.78742117,1.1748464,10.554000052274205,771.0,10.554000474512577
4094000,0.7952986,1.3393989,22.18600010429509,1465.0,22.18600031733513
4095000,0.7855799,1.3229835,None,None,None
4096000,0.6770354,1.1737723,7.924000037872854,601.3333333333334,7.9240002036094666
4097000,0.7723863,1.3163109,None,None,None
4098000,0.8402912,1.27552,22.185000106110238,1475.0,22.185000225901604
4099000,0.73000735,1.2967165,22.079000111669302,1476.0,22.07900070399046
4100000,0.748939,1.2914796,None,None,None
4101000,0.70433205,1.3346194,22.114000114961527,1476.0,22.113999918103218
4102000,0.78148776,1.2954167,14.966000068583526,1063.0,14.966000683605671
4103000,0.8075959,1.2612622,13.124500067904592,919.0,22.228000678122044
4104000,0.6863053,1.2167642,None,None,4.0210002064704895
4105000,0.7529401,1.3056173,20.955000109272078,1462.0,20.954999912530184
4106000,0.7603087,1.275898,None,None,None
4107000,0.7707317,1.3222841,22.112000100198202,1476.0,22.112000733613968
4108000,0.72946537,1.3186417,22.12300010060426,1476.0,22.123000517487526
4109000,0.7343653,1.3234749,None,None,None
4110000,0.7893681,1.2858486,22.221000110264868,1476.0,22.221000224351883
4111000,0.7763641,1.2969539,21.017000107909553,1476.0,21.01700058579445
4112000,0.7551958,1.2824794,None,None,None
4113000,0.75082994,1.3518374,11.209500053548254,783.0,11.209500253200531
4114000,0.7546035,1.2703089,11.18050005810801,780.0,11.18049992993474
4115000,0.8019484,1.3372362,None,None,None
4116000,0.77914417,1.302039,22.194000105839223,1464.0,22.1940007917583
4117000,0.80682474,1.3001702,22.13200010568835,1476.0,22.132000476121902
4118000,0.7613264,1.253199,3.9480000291951,356.0,3.9479996860027313
4119000,0.74642426,1.2354195,11.779000056325458,846.5,11.77900021057576
4120000,0.80929,1.2877572,1.5490000140853226,255.0,1.5489999949932098
4121000,0.75447,1.3121809,22.13600011379458,1467.0,22.135999105870724
4122000,0.74402463,1.2808535,5.640000031387899,416.5,5.639999832957983
4123000,0.7863488,1.3644934,21.009000101475976,1462.0,21.00900113210082
4124000,0.7715901,1.2875501,None,None,None
4125000,0.7276821,1.1970944,11.172500052547548,781.5,11.172499891370535
4126000,0.7863084,1.3296009,22.05800010333769,1470.0,22.058000221848488
4127000,0.7105377,1.2691898,None,None,None
4128000,0.80291283,1.329119,21.05600010638591,1476.0,21.056000500917435
4129000,0.79414123,1.3127073,22.295000107609667,1476.0,22.29500036686659
4130000,0.7842642,1.2864014,0.20700000587385148,72.0,0.20700013637542725
4131000,0.74663705,1.258929,11.17350005818298,780.0,11.173500219127163
4132000,0.8141353,1.2931613,None,None,None
4133000,0.7401729,1.3312112,22.21200011461042,1466.0,22.211999624967575
4134000,0.77537036,1.3358847,21.172000106656924,1476.0,21.17200045287609
4135000,0.8084161,1.2984047,None,None,None
4136000,0.8080949,1.2995893,11.227500055974815,780.5,11.227500144392252
4137000,0.7530034,1.2964965,11.370000064256601,859.0,11.36999973654747
4138000,0.7201512,1.2773528,22.085000107996166,1466.0,22.085000596940517
4139000,0.80389374,1.202648,5.117000030819327,421.3333333333333,5.117000026007493
4140000,0.77223897,1.2915703,None,None,None
4141000,0.782946,1.3256373,21.140000103972852,1474.0,21.140000373125076
4142000,0.7489514,1.3195925,10.607500051497482,772.0,10.607499945908785
4143000,0.75348794,1.3177073,None,None,None
4144000,0.7334174,1.2504663,11.141000051051378,779.0,11.140999935567379
4145000,0.7886496,1.2797953,22.175000097835436,1472.0,22.17500004544854
4146000,0.8108954,1.211844,0.09500000264961272,79.0,0.09499996900558472
4147000,0.74416035,1.2931464,11.219500051403884,762.0,11.219500161707401
4148000,0.78760636,1.2884411,None,None,None
4149000,0.8136105,1.269655,22.13100009923801,1461.0,22.131000269204378
4150000,0.76486707,1.3634322,23.254000102519058,1476.0,23.25400035083294
4151000,0.7467353,1.25106,None,None,None
4152000,0.73222464,1.1803571,10.446000058320351,761.0,10.446000007291635
4153000,0.80475056,1.2780213,None,None,None
4154000,0.79701877,1.2484807,11.129500056791585,777.0,11.129499970003963
4155000,0.74513596,1.3062699,22.23500010347925,1475.0,22.23500020056963
4156000,0.78573596,1.1709183,-0.37749999697552994,83.5,-0.3774999529123306
4157000,0.7761321,1.2469339,21.083000108599663,1472.0,21.08299995958805
4158000,0.7415518,1.2890218,None,None,None
4159000,0.77676415,1.244445,21.17400010349229,1476.0,21.173999838531017
4160000,0.7843024,1.1883103,9.355000049457885,695.0,9.354999735951424
4161000,0.7227671,1.219193,18.761000105761923,1365.0,18.76100055873394
4162000,0.7422154,1.2906042,None,None,None
4163000,0.8477945,1.3287222,21.098000111524016,1459.0,21.098000513389707
4164000,0.7536535,1.2778809,23.170000109472312,1476.0,23.170000284910202
4165000,0.7367125,1.3023046,None,None,None
4166000,0.80599296,1.2880493,14.302000068768393,1006.0,14.302000127732754
4167000,0.73892695,1.293352,None,None,None
4168000,0.77706844,1.2934482,22.245000115130097,1465.0,22.2449993789196
4169000,0.83106285,1.3125103,23.369000107748434,1476.0,23.36900082230568
4170000,0.7396845,1.2215997,0.12000000406987965,90.0,0.12000018358230591
4171000,0.717714,1.1325189,7.035666702703263,535.6666666666666,7.035666882991791
4172000,0.8071862,1.3083686,None,None,None
4173000,0.82476556,1.2367895,22.187000098987482,1465.0,22.18700037896633
4174000,0.73980546,1.3364906,22.074000096414238,1476.0,22.074000403285027
4175000,0.7878039,1.3076496,None,None,None
4176000,0.7657362,1.2586735,22.12900010100566,1476.0,22.129000771790743
4177000,0.8028651,1.2756616,21.98100010503549,1476.0,21.981000808998942
4178000,0.72215676,1.295145,None,None,None
4179000,0.7777981,1.3335414,22.127000107662752,1476.0,22.127000249922276
4180000,0.7592786,1.2696816,21.999000108684413,1476.0,21.999000266194344
4181000,0.7552978,1.294898,None,None,None
4182000,0.7540763,1.2776835,20.009000107995234,1424.0,20.0089997574687
4183000,0.826921,1.3154999,11.192500055360142,783.5,11.192500125616789
4184000,0.7506986,1.2777073,8.758000043570064,641.0,8.757999897003174
4185000,0.8119259,1.2595389,22.0640001015272,1468.0,22.063999719917774
4186000,0.7416828,1.3053098,None,None,None
4187000,0.68038976,1.2652979,20.983000104431994,1476.0,20.983000203967094
4188000,0.7948607,1.2818048,22.041000104509294,1476.0,22.041000485420227
4189000,0.7673463,1.2865682,None,None,None
4190000,0.7762167,1.2716017,14.28050007665297,1014.0,14.280500266700983
4191000,0.77130544,1.3129756,None,None,None
4192000,0.7969918,1.3261452,22.031000104616396,1465.0,22.031000792980194
4193000,0.7808686,1.3063023,22.275000113528222,1476.0,22.275000348687172
4194000,0.7204038,1.3125496,None,None,None
4195000,0.8019698,1.3349237,22.12200011056848,1476.0,22.12200053036213
4196000,0.7886237,1.3161885,22.242000107537024,1476.0,22.242000237107277
4197000,0.70977044,1.316333,4.011000027530827,391.0,4.011000022292137
4198000,0.7520276,1.3252599,21.09300010325387,1461.0,21.093001041561365
4199000,0.73894036,1.2754643,7.510000039241277,553.0,7.510000109672546
4200000,0.7580836,1.3031234,21.10700010508299,1464.0,21.10700038075447
4201000,0.79366875,1.349691,None,None,None
4202000,0.8342681,1.260361,10.627000049571507,770.5,10.62699993699789
