Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
4002000,1.5288229,0.8514746,23.592000132775865,1477.0,23.59199857711792
4003000,1.5292755,0.8264362,None,None,None
4004000,1.4889729,0.86373866,24.655000133207068,1476.0,24.654999777674675
4005000,1.5175866,0.81501,24.66400013002567,1476.0,24.663998566567898
4006000,1.5209106,0.8545372,None,None,None
4007000,1.5180215,0.8263447,18.024500105238985,1157.0,18.024499462917447
4008000,1.5155783,0.80429685,None,None,None
4009000,1.5422772,0.8140163,23.489000124624,1474.0,23.488999366760254
4010000,1.5192633,0.8083648,24.630000137141906,1476.0,24.62999825179577
4011000,1.53641,0.8355251,11.342000072239898,758.0,11.342000588774681
4012000,1.4938458,0.8372149,None,None,None
4013000,1.513115,0.8263168,13.693500080902595,856.5,13.693499781191349
4014000,1.5199918,0.81502235,12.435000070661772,782.5,12.434999492019415
4015000,1.5026337,0.85432523,None,None,None
4016000,1.4934171,0.8245114,14.888000082341023,942.5,14.88799924775958
4017000,1.4814198,0.8410675,None,None,None
4018000,1.5451341,0.8526319,24.637000135378912,1473.0,24.636998169124126
4019000,1.4965669,0.84091336,10.043000058853067,691.0,10.043000012636185
4020000,1.5036339,0.82747805,24.72800013946835,1474.0,24.72799937427044
4021000,1.5282668,0.8091029,None,None,None
4022000,1.4856021,0.81248415,24.68000013998244,1476.0,24.679998978972435
4023000,1.5184245,0.8268755,22.308000129414722,1368.0,22.30799987912178
4024000,1.5203304,0.8289174,25.62900012906175,1470.0,25.62899985909462
4025000,1.4793936,0.8150766,None,None,None
4026000,1.5453875,0.8054005,24.562000133446418,1476.0,24.561998762190342
4027000,1.5138512,0.831112,23.619000130798668,1476.0,23.61899943649769
4028000,1.5128994,0.8035632,None,None,None
4029000,1.5156612,0.8293093,25.617000142345205,1476.0,25.61700028181076
4030000,1.4961178,0.8062272,24.71600013214629,1476.0,24.715998515486717
4031000,1.5138268,0.8104786,None,None,None
4032000,1.4804469,0.8108811,25.700000136508606,1476.0,25.69999895989895
4033000,1.5249773,0.8506817,24.661000133957714,1476.0,24.660999700427055
4034000,1.5212337,0.8354124,3.8850000294623896,299.0,3.885000064969063
4035000,1.5121936,0.8434514,24.616000131238252,1472.0,24.615999925881624
4036000,1.5208149,0.8419252,None,None,None
4037000,1.5191306,0.82616967,23.542000128538348,1476.0,23.542000137269497
4038000,1.5179002,0.85330886,24.636000141268596,1476.0,24.63599979877472
4039000,1.512243,0.8352264,None,None,None
4040000,1.5208533,0.7979356,24.65200013993308,1476.0,24.65199963003397
4041000,1.4843913,0.8284942,25.721000136923976,1476.0,25.72099967300892
4042000,1.5297686,0.7930556,None,None,None
4043000,1.4894593,0.80789334,24.572000125655904,1476.0,24.57199965789914
4044000,1.5181633,0.81018484,23.623000132269226,1476.0,23.62299980223179
4045000,1.519535,0.82991207,None,None,None
4046000,1.5339422,0.81002164,24.574000136810355,1476.0,24.57399892807007
4047000,1.4976346,0.8524112,13.654500081785955,853.0,24.630999460816383
4048000,1.5082096,0.8434613,None,None,2.6779997646808624
4049000,1.5105023,0.82791483,16.27700009662658,1058.0,16.276999443769455
4050000,1.4971001,0.843917,15.032000083127059,980.0,15.031999990344048
4051000,1.5188541,0.80213714,15.110000088112429,1008.0,15.1099993288517
4052000,1.500237,0.81965584,14.846000081859529,908.0,14.846000106073916
4053000,1.5059946,0.8441436,None,None,None
4054000,1.5167319,0.7968572,24.61000012489967,1466.0,24.60999906808138
4055000,1.5189378,0.8473028,19.953000116511248,1284.0,19.952999502420425
4056000,1.5438445,0.8154036,None,None,None
4057000,1.5253046,0.8078906,21.18700012820773,1341.0,21.186999395489693
4058000,1.5367253,0.82191634,23.638000131119043,1475.0,23.637999713420868
4059000,1.512366,0.818451,None,None,None
4060000,1.5264896,0.81275725,19.21050011389889,1167.5,19.210499338805676
4061000,1.4870411,0.78266656,None,None,None
4062000,1.523586,0.8184966,24.502000133274123,1470.0,24.501999884843826
4063000,1.5188019,0.8437251,24.624000130104832,1476.0,24.62399896979332
4064000,1.4750121,0.82615817,11.173000066541135,677.0,11.172999322414398
4065000,1.5341743,0.8090789,11.36700006609317,803.0,11.36699952185154
4066000,1.5012159,0.82979214,19.69500010984484,1204.0,19.694999739527702
4067000,1.501602,0.84919107,8.767000057268888,627.0,8.766999289393425
4068000,1.5108653,0.85034156,13.65200007520616,835.0,13.652000442147255
4069000,1.510718,0.81117564,24.612000138382427,1462.0,24.611998829990625
4070000,1.5036821,0.83747727,None,None,None
4071000,1.5026987,0.8389016,17.379500097827986,1072.0,17.37949899956584
4072000,1.498504,0.81058437,None,None,None
