Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.0758998,0.8404255319148937,104.13829787234043,0.8223684,0.8404255319148937
20000,1.0758864,0.6140350877192983,85.85087719298245,0.73878956,0.6140350877192983
30000,1.0656507,0.8712871287128713,97.36633663366337,0.7275317,0.88
40000,1.0723673,0.6576576576576577,87.5945945945946,0.68722266,0.6517857142857143
50000,1.0739648,0.8113207547169812,92.78301886792453,0.64129037,0.8113207547169812
60000,1.065759,0.8173076923076923,94.625,0.5952711,0.8252427184466019
70000,1.0670534,0.8252427184466019,94.55339805825243,0.53813714,0.8173076923076923
80000,1.0363331,1.0,106.5934065934066,0.5862555,1.0
90000,1.026444,1.1625,122.0125,0.52297205,1.1625
100000,1.0082204,1.1973684210526316,130.55263157894737,0.52916074,1.1973684210526316
110000,1.0067403,1.2816901408450705,138.85915492957747,0.53070736,1.2857142857142858
120000,0.97529495,1.337837837837838,132.5,0.57578427,1.337837837837838
130000,0.9713221,1.1518987341772151,122.53164556962025,0.5653959,1.15
140000,0.9742414,1.4477611940298507,146.92537313432837,0.5619091,1.4477611940298507
150000,0.9548469,1.180722891566265,116.34939759036145,0.5270095,1.180722891566265
160000,0.92662495,1.3513513513513513,135.7027027027027,0.5732864,1.356164383561644
170000,0.93804234,1.3943661971830985,136.45070422535213,0.5352565,1.3888888888888888
180000,0.9368612,1.1744186046511629,115.3953488372093,0.52689797,1.1764705882352942
190000,0.913791,1.3205128205128205,125.38461538461539,0.5576942,1.3164556962025316
200000,0.9266089,1.2597402597402598,124.8961038961039,0.50870556,1.2597402597402598
210000,0.8987558,1.2469135802469136,123.91358024691358,0.53804725,1.2375
220000,0.9040774,1.4,129.6,0.5244735,1.4078947368421053
230000,0.88841933,1.2469135802469136,120.55555555555556,0.5420498,1.2469135802469136
240000,0.90617293,1.2048192771084338,119.59036144578313,0.5492175,1.1951219512195121
