Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
2010000,0.9490419,0.84570843,5.7894736842105265,518.1578947368421,5.611111111111111
2020000,0.95038533,0.8395189,5.0,455.5238095238095,5.181818181818182
2030000,0.9306671,0.8063722,5.095238095238095,471.8095238095238,5.095238095238095
2040000,0.9603267,0.78435105,5.285714285714286,465.9047619047619,5.285714285714286
2050000,0.91285133,0.8183497,3.962962962962963,363.25925925925924,3.962962962962963
2060000,0.9132004,0.8195626,5.9411764705882355,537.6470588235294,5.9411764705882355
2070000,0.9054391,0.7911757,6.421052631578948,556.3684210526316,6.421052631578948
2080000,0.91809624,0.7999855,4.608695652173913,392.5652173913044,4.608695652173913
2090000,0.90001404,0.81033,4.357142857142857,384.7857142857143,4.357142857142857
2100000,0.9425297,0.8032011,4.12,354.52,4.12
2110000,0.9332662,0.77096796,4.333333333333333,382.0740740740741,4.333333333333333
2120000,0.94052136,0.8245006,6.157894736842105,541.2631578947369,6.157894736842105
2130000,0.92354405,0.7785214,3.8275862068965516,329.41379310344826,3.8275862068965516
2140000,0.92509866,0.76986593,3.7096774193548385,322.5806451612903,3.7096774193548385
2150000,0.9266592,0.81197304,4.1923076923076925,373.9230769230769,4.1923076923076925
2160000,0.91369766,0.8640762,5.894736842105263,530.1052631578947,5.894736842105263
2170000,0.9188664,0.8565932,4.28,380.52,4.28
2180000,0.91704416,0.849668,4.739130434782608,419.69565217391306,4.739130434782608
2190000,0.92392784,0.8793975,6.222222222222222,560.5555555555555,6.222222222222222
2200000,0.9216036,0.9053051,7.0,630.0,7.0
2210000,0.90836805,0.9081249,5.1,463.15,5.1
2220000,0.9166008,0.9440598,5.523809523809524,487.42857142857144,5.523809523809524
2230000,0.9028796,0.9494194,4.4,396.28,4.4
2240000,0.89622146,0.8943797,4.36,388.6,4.36
2250000,0.9021596,0.9182323,5.888888888888889,530.7777777777778,5.888888888888889
2260000,0.9145915,0.93081975,4.791666666666667,430.7916666666667,4.791666666666667
2270000,0.92742175,0.91378266,5.2631578947368425,494.1578947368421,5.2631578947368425
2280000,0.9197414,0.9275098,5.684210526315789,522.7368421052631,5.684210526315789
2290000,0.9202147,0.9326009,5.55,507.0,5.55
2300000,0.90226287,0.96829206,12.0,1083.3333333333333,12.0
2310000,0.89458317,0.96632576,5.315789473684211,467.3157894736842,5.315789473684211
2320000,0.8796798,0.953222,5.2727272727272725,461.6818181818182,5.2727272727272725
2330000,0.90627885,0.9289403,5.526315789473684,494.94736842105266,5.526315789473684
2340000,0.88765585,0.90325,5.25,450.8333333333333,5.25
2350000,0.87048507,0.91965306,7.1875,611.125,7.1875
2360000,0.86722404,0.87703097,6.933333333333334,595.6,6.933333333333334
2370000,0.8843453,0.92961407,7.529411764705882,623.6470588235294,7.529411764705882
2380000,0.8924119,0.96181583,7.4375,615.0625,7.4375
2390000,0.8902889,0.9280818,5.409090909090909,451.0,5.409090909090909
2400000,0.8823973,0.9700926,4.708333333333333,404.625,4.708333333333333
2410000,0.89219797,0.9996128,5.260869565217392,439.2608695652174,5.260869565217392
2420000,0.88901794,0.98826236,5.318181818181818,435.54545454545456,5.318181818181818
2430000,0.89543176,0.99050343,6.2105263157894735,524.6842105263158,6.2105263157894735
2440000,0.8885791,0.9531966,5.894736842105263,507.10526315789474,5.894736842105263
2450000,0.8922101,0.9647978,4.035714285714286,352.0,4.035714285714286
