Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
2010000,0.90029174,0.2616811,3.5516251031222055,1212.0,3.55162527912762
2020000,0.9036988,0.24321629,2.4690000707579944,858.0909090909091,2.4690001877765595
2030000,0.90383244,0.24178068,2.710909171918915,934.4545454545455,2.710909317924895
2040000,0.9051843,0.2400852,2.119333397024699,736.25,2.1193335016335673
2050000,0.8897809,0.24950178,3.179100094526075,1077.3,3.1791002604411913
2060000,0.88762146,0.25048435,2.5850000790087506,872.5454545454545,2.585000212050297
2070000,0.89931554,0.24972802,1.9378000584353383,653.6,1.9378001600503922
2080000,0.91570365,0.2561563,3.0362223125864856,1025.111111111111,3.0362224605244896
2090000,0.90046924,0.2636413,2.5340000767707047,863.8333333333334,2.5340002028582
2100000,0.9113224,0.26611912,1.858062558239908,638.1875,1.858062643557787
2110000,0.90839684,0.2651498,2.2788334028640143,776.5833333333334,2.27883352447922
2120000,0.9090713,0.26350826,3.352250102616381,1138.375,3.3522502820705995
2130000,0.9038698,0.26680958,2.9379091794306245,986.8181818181819,2.9379093311727047
2140000,0.8843717,0.26392937,2.5586000769282693,875.1,2.558600209094584
2150000,0.88588685,0.26820928,2.3467143556169634,806.0,2.5150001966215383
2160000,0.89475065,0.26492277,2.331833403237397,798.6666666666666,2.164692478926064
2170000,0.90303206,0.26503462,2.9318000903353094,1000.3,2.9318002401385455
2180000,0.913918,0.27191436,2.4197500735948174,811.9166666666666,2.419750201748684
2190000,0.9079427,0.28047535,3.2564445415304766,1094.3333333333333,3.2564447191026478
2200000,0.89070606,0.2750827,1.8915714880069052,660.1428571428571,1.891571578170572
2210000,0.90329313,0.2820681,3.1433334299233846,1054.7777777777778,3.1433335825180015
2220000,0.9107289,0.28144842,2.6730000788494097,904.3636363636364,2.6730002109808
2230000,0.8944315,0.27856207,4.013000120491987,1350.7142857142858,4.013000328093767
2240000,0.90318334,0.27058527,2.169642922609845,740.9285714285714,2.169643039549036
2250000,0.8942213,0.26479185,3.5662501077749766,1208.0,3.566250284202397
2260000,0.90005004,0.26984522,4.360857272071631,1464.142857142857,4.360857515462807
2270000,0.90029913,0.27286777,3.556000107084401,1197.75,3.5560003011487424
2280000,0.89722776,0.27931622,2.344307761845322,794.6923076923077,2.3443078814128127
2290000,0.88204974,0.28439248,3.3406667623332598,1111.6666666666667,3.340666946851545
2300000,0.8977867,0.2796479,2.8596000863821245,961.0,2.8596002186648546
2310000,0.88460463,0.2809624,2.4310000723441285,817.1666666666666,2.4310001977719367
2320000,0.8848566,0.280818,3.3641251029184787,1127.125,3.3641252629458904
2330000,0.8934291,0.28017995,2.697083413571818,915.25,2.6970835500784838
2340000,0.8910364,0.28221056,2.4253334094343395,825.6666666666666,2.4253335228810706
2350000,0.89324534,0.27796197,2.329916739836335,782.9166666666666,2.329916851827875
2360000,0.8984034,0.27569288,2.541833410951464,834.75,2.541833544499241
2370000,0.89851665,0.27529222,3.8740001198436533,1274.2857142857142,3.8740003375070438
